"SableSoft","SableSoft"
"SMSP.BY Api","SMSP.BY Api"
"General","General"
"This is configuration page for smsp.by api module.","This is configuration page for smsp.by api module."
"Api User","Api User"
"SMS Api user email","SMS Api user email"
"Api Key","Api Key"
"SMSP Api user key","SMSP Api user key"
"Sender","Sender"
"SMSP Sender Name","SMSP Sender Name"
"Country Code","Country Code"
"Country code for applying to recipients numbers","Country code for applying to recipients numbers"
"Develop Mode","Develop Mode"
"Developer mode flag. Don't use in production!","Developer mode flag. Don't use in production!"
"Development","Development"
"For developers only!","For developers only!"
"Url","Url"
"Commands","Commands"
"Developer Key","Developer Key"
"Command Name","Command Name"
"Command Params","Command Params"
"Add Command","Add Command"
"Smsp api not ready for requesting!","Smsp api not ready for requesting!"
"Required smsp.by api parameter missing: '%1'. Please check you module configs!","Required smsp.by api parameter missing: '%1'. Please check you module configs!"
"Required smsp.by api parameter not valid: '%1'. Please check you module configs!","Required smsp.by api parameter not valid: '%1'. Please check you module configs!"
"Invalid smsp api command: '%1'","Invalid smsp api command: '%1'"
"Parameter for command '%1' is required: '%2'","Parameter for command '%1' is required: '%2'"
"Invalid value for parameter: '%1'. Skipping...","Invalid value for parameter: '%1'. Skipping..."
"Invalid smsp config key: '%1'","Invalid smsp config key: '%1'"
"Unknown smsp command name: '%1'","Unknown smsp command name: '%1'"
"Request command not found!","Request command not found!"
